BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint
GL10DH2,30.0,33.0,3.0,42.79,128.37,135.0,-79.99999237060547,9762577.867817521,309453.1321823448,1333.0214440822601,135.0,-80.00001525878906,9762577.68363595,309453.3163639307,1331.5442323684692,135.0,-79.99999237060547,9762578.051999345,309452.94800052047,1334.4986556768417,2
GL10DH2,33.0,36.0,3.0,69.65320000000001,208.95960000000002,135.0,-79.9999771118164,9762578.236181289,309452.76381856203,1335.9758672714233,135.0,-79.99999237060547,9762578.051999345,309452.94800052047,1334.4986556768417,135.0,-79.99999237060547,9762578.420363232,309452.5796366036,1337.453078866005,2
GL10DH2,36.0,39.0,3.0,93.146,279.438,135.0,-79.99999237060547,9762578.604545057,309452.39545477927,1338.9302904605865,135.0,-79.99999237060547,9762578.420363232,309452.5796366036,1337.453078866005,135.0,-80.00001525878906,9762578.788726628,309452.21127319336,1340.4075021743774,2
GL10DH2,39.0,42.0,3.0,93.47160000000001,280.4148,135.0,-79.99999237060547,9762578.972908199,309452.02709160745,1341.8847138881683,135.0,-80.00001525878906,9762578.788726628,309452.21127319336,1340.4075021743774,135.0,-79.99999237060547,9762579.157090023,309451.8429097831,1343.36192548275,2
GL10DH2,42.0,45.0,3.0,45.77639999999991,137.32919999999973,135.0,-79.9999771118164,9762579.341271967,309451.6587278247,1344.8391370773315,135.0,-79.99999237060547,9762579.157090023,309451.8429097831,1343.36192548275,135.0,-79.99999237060547,9762579.52545391,309451.47454586625,1346.3163486719131,2
GL10DH2,45.0,48.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762579.709635735,309451.2903640419,1347.7935602664948,135.0,-79.99999237060547,9762579.52545391,309451.47454586625,1346.3163486719131,135.0,-79.99999237060547,9762579.893817559,309451.1061822176,1349.2707718610764,2
GL10DH2,48.0,51.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762580.077999383,309450.9220003933,1350.747983455658,135.0,-79.99999237060547,9762579.893817559,309451.1061822176,1349.2707718610764,135.0,-79.99999237060547,9762580.262181208,309450.73781856894,1352.2251950502396,2
GL10DH2,51.0,54.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762580.446363032,309450.5536367446,1353.7024066448212,135.0,-79.99999237060547,9762580.262181208,309450.73781856894,1352.2251950502396,135.0,-79.99999237060547,9762580.630544856,309450.3694549203,1355.1796182394028,2
GL10DH2,54.0,57.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762580.81472668,309450.18527309597,1356.6568298339844,135.0,-79.99999237060547,9762580.630544856,309450.3694549203,1355.1796182394028,135.0,-79.99999237060547,9762580.998908505,309450.00109127164,1358.134041428566,2
GL10DH2,57.0,60.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762581.18309033,309449.8169094473,1359.6112530231476,135.0,-79.99999237060547,9762580.998908505,309450.00109127164,1358.134041428566,135.0,-80.00001525878906,9762581.3672719,309449.6327278614,1361.0884647369385,2
