IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
527,23,18,0,309595.0,9762605.0,1165.0,0.25,91.01158,91.297226,91.015,-0.1205273,0.26172674
554,22,19,0,309585.0,9762615.0,1165.0,0.125,90.90588,91.285934,91.015,-0.14450383,0.36626995
555,23,19,0,309595.0,9762615.0,1165.0,0.125,90.90356,91.28713,91.015,-0.1546175,0.3847562
1411,11,0,1,309475.0,9762425.0,1175.0,0.25,88.4649,90.94679,91.86034,-0.17911367,0.46853292
1412,12,0,1,309485.0,9762425.0,1175.0,0.25,89.34703,91.57077,91.86034,-0.15804635,0.3919288
1437,9,1,1,309455.0,9762435.0,1175.0,0.125,81.51591,82.005775,92.348,-0.15081741,0.56885403
1438,10,1,1,309465.0,9762435.0,1175.0,0.25,81.91398,82.61729,92.348,-0.12633242,0.47944874
1439,11,1,1,309475.0,9762435.0,1175.0,0.625,88.99912,91.2943,91.822334,-0.09109798,0.32894698
1440,12,1,1,309485.0,9762435.0,1175.0,0.75,90.38043,91.88179,91.86034,-0.08449095,0.16156197
1441,13,1,1,309495.0,9762435.0,1175.0,0.25,90.24789,91.906044,91.86034,-0.11874835,0.25633866
1465,9,2,1,309455.0,9762445.0,1175.0,0.125,80.99142,81.73427,92.348,-0.1014108,0.5252772
1466,10,2,1,309465.0,9762445.0,1175.0,0.375,81.51809,82.474846,92.348,-0.0850673,0.450757
1467,11,2,1,309475.0,9762445.0,1175.0,0.625,82.36302,83.44959,91.822334,-0.063105725,0.31968173
1468,12,2,1,309485.0,9762445.0,1175.0,0.875,89.81811,91.8362,91.822334,-0.043679174,0.16445886
1469,13,2,1,309495.0,9762445.0,1175.0,0.75,89.95396,91.74765,91.822334,-0.12000864,0.26681855
1470,14,2,1,309505.0,9762445.0,1175.0,0.25,89.11784,91.43195,91.822334,-0.18974581,0.47175124
1494,10,3,1,309465.0,9762455.0,1175.0,0.25,81.16099,82.10951,92.348,-0.0881021,0.48006082
1495,11,3,1,309475.0,9762455.0,1175.0,0.5,81.887596,82.85857,91.822334,-0.077438064,0.4137606
1496,12,3,1,309485.0,9762455.0,1175.0,0.75,82.62739,83.4943,91.822334,-0.073609486,0.36418033
1497,13,3,1,309495.0,9762455.0,1175.0,1.0,88.265076,91.000275,91.822334,-0.10819702,0.40997005
1498,14,3,1,309505.0,9762455.0,1175.0,0.5,87.7526,90.56337,91.822334,-0.14060195,0.5155713
1522,10,4,1,309465.0,9762465.0,1175.0,0.125,84.98118,86.49113,92.32667,-0.09492756,0.5198795
1523,11,4,1,309475.0,9762465.0,1175.0,0.375,86.244514,88.37875,91.822334,-0.09290832,0.49990377
1524,12,4,1,309485.0,9762465.0,1175.0,0.75,87.125755,89.454926,91.822334,-0.09604963,0.4915273
1525,13,4,1,309495.0,9762465.0,1175.0,1.0,81.95487,82.79383,91.822334,-0.14017944,0.5396069
1526,14,4,1,309505.0,9762465.0,1175.0,0.75,86.86228,89.60244,91.822334,-0.16094552,0.59704286
1527,15,4,1,309515.0,9762465.0,1175.0,0.25,86.52974,89.219574,91.822334,-0.18561867,0.663728
1551,11,5,1,309475.0,9762475.0,1175.0,0.25,85.357925,86.82098,92.32667,-0.10979095,0.5684562
1552,12,5,1,309485.0,9762475.0,1175.0,0.625,86.09574,87.85483,91.822334,-0.11599476,0.5769499
1553,13,5,1,309495.0,9762475.0,1175.0,0.875,86.30535,88.32975,91.822334,-0.12895139,0.6005231
1554,14,5,1,309505.0,9762475.0,1175.0,1.0,86.28953,88.55453,91.822334,-0.17739716,0.6572122
1555,15,5,1,309515.0,9762475.0,1175.0,0.625,85.956345,88.29836,91.822334,-0.19829628,0.70583963
1556,16,5,1,309525.0,9762475.0,1175.0,0.125,86.0408,88.233215,91.822334,-0.21213868,0.74301624
1579,11,6,1,309475.0,9762485.0,1175.0,0.25,84.78374,85.71415,92.32667,-0.123431124,0.61571425
1580,12,6,1,309485.0,9762485.0,1175.0,0.5,85.38185,86.56225,92.32667,-0.1306669,0.629941
1581,13,6,1,309495.0,9762485.0,1175.0,0.75,85.562805,87.03888,91.822334,-0.14304717,0.65149623
1582,14,6,1,309505.0,9762485.0,1175.0,1.0,85.636215,87.40611,91.822334,-0.19198415,0.70231426
1583,15,6,1,309515.0,9762485.0,1175.0,0.875,85.63998,87.43247,91.822334,-0.20752442,0.7354617
1584,16,6,1,309525.0,9762485.0,1175.0,0.375,85.64602,87.42259,91.822334,-0.2200107,0.76557225
1607,11,7,1,309475.0,9762495.0,1175.0,0.25,84.73578,85.16339,62.877865,-0.13035516,0.6425814
1608,12,7,1,309485.0,9762495.0,1175.0,0.5,85.22156,85.796326,92.32667,-0.13744982,0.65713555
1609,13,7,1,309495.0,9762495.0,1175.0,0.625,85.013756,85.98678,92.32667,-0.15260583,0.68150073
1610,14,7,1,309505.0,9762495.0,1175.0,0.875,85.122574,86.372154,91.822334,-0.20232512,0.7308617
1611,15,7,1,309515.0,9762495.0,1175.0,1.0,85.20836,86.52102,91.822334,-0.21568932,0.7577017
1612,16,7,1,309525.0,9762495.0,1175.0,0.75,85.21999,86.5662,91.822334,-0.22879949,0.78450084
1613,17,7,1,309535.0,9762495.0,1175.0,0.25,85.27229,86.61667,91.822334,-0.23825681,0.8067426
1635,11,8,1,309475.0,9762505.0,1175.0,0.25,84.24768,84.67778,64.3782,-0.14307328,0.66485053
1636,12,8,1,309485.0,9762505.0,1175.0,0.5,84.796936,85.04205,64.3782,-0.14339389,0.6722973
1637,13,8,1,309495.0,9762505.0,1175.0,0.5,84.89986,85.30756,64.3782,-0.15497996,0.69207466
1638,14,8,1,309505.0,9762505.0,1175.0,0.625,84.709724,85.48291,92.32667,-0.20851596,0.74567455
1639,15,8,1,309515.0,9762505.0,1175.0,0.875,84.84987,85.70405,91.822334,-0.22094175,0.7703588
1640,16,8,1,309525.0,9762505.0,1175.0,1.0,86.47109,86.639404,91.822334,-0.16567679,0.7364688
1641,17,8,1,309535.0,9762505.0,1175.0,0.625,86.59581,86.8899,91.822334,-0.17277154,0.75177944
1642,18,8,1,309545.0,9762505.0,1175.0,0.125,86.91594,87.28045,91.822334,-0.17552157,0.7611908
1663,11,9,1,309475.0,9762515.0,1175.0,0.125,83.33997,83.90648,64.3782,-0.12553017,0.6503094
1664,12,9,1,309485.0,9762515.0,1175.0,0.375,83.53177,84.11952,64.3782,-0.13242142,0.66519886
1665,13,9,1,309495.0,9762515.0,1175.0,0.5,84.13136,84.41156,64.3782,-0.15329717,0.6914382
1666,14,9,1,309505.0,9762515.0,1175.0,0.5,84.15975,84.73516,64.3782,-0.1719402,0.71965855
1667,15,9,1,309515.0,9762515.0,1175.0,0.75,86.18491,85.877106,64.3782,-0.1552515,0.7178525
1668,16,9,1,309525.0,9762515.0,1175.0,1.0,86.33339,86.24328,64.3782,-0.16414285,0.73569477
