IJK,IX,IY,IZ,XC,YC,ZC,__in
3156,20,12,2,309565.0,9762545.0,1185.0,0.25
3175,11,13,2,309475.0,9762555.0,1185.0,0.125
3176,12,13,2,309485.0,9762555.0,1185.0,0.375
3177,13,13,2,309495.0,9762555.0,1185.0,0.5
3178,14,13,2,309505.0,9762555.0,1185.0,0.625
3179,15,13,2,309515.0,9762555.0,1185.0,0.875
3180,16,13,2,309525.0,9762555.0,1185.0,1.0
3181,17,13,2,309535.0,9762555.0,1185.0,1.0
3182,18,13,2,309545.0,9762555.0,1185.0,1.0
3183,19,13,2,309555.0,9762555.0,1185.0,1.0
3184,20,13,2,309565.0,9762555.0,1185.0,0.625
3185,21,13,2,309575.0,9762555.0,1185.0,0.125
3204,12,14,2,309485.0,9762565.0,1185.0,0.125
3205,13,14,2,309495.0,9762565.0,1185.0,0.375
3206,14,14,2,309505.0,9762565.0,1185.0,0.5
3207,15,14,2,309515.0,9762565.0,1185.0,0.625
3208,16,14,2,309525.0,9762565.0,1185.0,0.875
3209,17,14,2,309535.0,9762565.0,1185.0,1.0
3210,18,14,2,309545.0,9762565.0,1185.0,1.0
3211,19,14,2,309555.0,9762565.0,1185.0,1.0
3212,20,14,2,309565.0,9762565.0,1185.0,0.875
3213,21,14,2,309575.0,9762565.0,1185.0,0.375
3233,13,15,2,309495.0,9762575.0,1185.0,0.125
3234,14,15,2,309505.0,9762575.0,1185.0,0.375
3235,15,15,2,309515.0,9762575.0,1185.0,0.5
3236,16,15,2,309525.0,9762575.0,1185.0,0.75
3237,17,15,2,309535.0,9762575.0,1185.0,1.0
3238,18,15,2,309545.0,9762575.0,1185.0,1.0
3239,19,15,2,309555.0,9762575.0,1185.0,1.0
3240,20,15,2,309565.0,9762575.0,1185.0,1.0
3241,21,15,2,309575.0,9762575.0,1185.0,0.75
3242,22,15,2,309585.0,9762575.0,1185.0,0.25
3262,14,16,2,309505.0,9762585.0,1185.0,0.125
3263,15,16,2,309515.0,9762585.0,1185.0,0.25
3264,16,16,2,309525.0,9762585.0,1185.0,0.5
3265,17,16,2,309535.0,9762585.0,1185.0,0.75
3266,18,16,2,309545.0,9762585.0,1185.0,0.875
3267,19,16,2,309555.0,9762585.0,1185.0,1.0
3268,20,16,2,309565.0,9762585.0,1185.0,1.0
3269,21,16,2,309575.0,9762585.0,1185.0,1.0
3270,22,16,2,309585.0,9762585.0,1185.0,0.625
3271,23,16,2,309595.0,9762585.0,1185.0,0.125
3292,16,17,2,309525.0,9762595.0,1185.0,0.125
3293,17,17,2,309535.0,9762595.0,1185.0,0.25
3294,18,17,2,309545.0,9762595.0,1185.0,0.5
3295,19,17,2,309555.0,9762595.0,1185.0,0.75
3296,20,17,2,309565.0,9762595.0,1185.0,0.875
3297,21,17,2,309575.0,9762595.0,1185.0,1.0
3298,22,17,2,309585.0,9762595.0,1185.0,0.875
3299,23,17,2,309595.0,9762595.0,1185.0,0.375
3322,18,18,2,309545.0,9762605.0,1185.0,0.125
3323,19,18,2,309555.0,9762605.0,1185.0,0.375
3324,20,18,2,309565.0,9762605.0,1185.0,0.625
3325,21,18,2,309575.0,9762605.0,1185.0,0.875
3326,22,18,2,309585.0,9762605.0,1185.0,1.0
3327,23,18,2,309595.0,9762605.0,1185.0,0.5
3351,19,19,2,309555.0,9762615.0,1185.0,0.125
3352,20,19,2,309565.0,9762615.0,1185.0,0.25
3353,21,19,2,309575.0,9762615.0,1185.0,0.5
