BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint
GL11DH2,48.0,51.0,3.0,91.78233333333333,275.347,135.0,79.99999237060547,309537.07799860835,9762639.922001392,1254.2520161867142,135.0,79.99999237060547,309536.8938167691,9762640.10618323,1255.7292277812958,135.0,79.99999237060547,309537.2621804476,9762639.737819552,1252.7748045921326,5
GL11DH2,51.0,54.0,3.0,91.646,274.938,135.0,79.99999237060547,309537.4463622868,9762639.553637713,1251.297592997551,135.0,79.99999237060547,309537.2621804476,9762639.737819552,1252.7748045921326,135.0,79.99999237060547,309537.63054412603,9762639.369455874,1249.8203814029694,5
GL11DH2,54.0,57.0,3.0,92.38999999999999,277.16999999999996,135.0,79.99999237060547,309537.81472596526,9762639.185274035,1248.3431698083878,135.0,79.99999237060547,309537.63054412603,9762639.369455874,1249.8203814029694,135.0,79.99999237060547,309537.9989078045,9762639.001092196,1246.8659582138062,5
GL11DH2,57.0,60.0,3.0,91.49000000000001,274.47,135.0,79.99999237060547,309538.1830896437,9762638.816910356,1245.3887466192245,135.0,79.99999237060547,309537.9989078045,9762639.001092196,1246.8659582138062,135.0,80.00001525878906,309538.3672712743,9762638.632728726,1243.911535024643,5
GL11DH2,60.0,63.0,3.0,91.37799999999999,274.13399999999996,135.0,79.99999237060547,309538.55145290494,9762638.448547095,1242.4343234300613,135.0,80.00001525878906,309538.3672712743,9762638.632728726,1243.911535024643,135.0,79.99999237060547,309538.73563474417,9762638.264365256,1240.9571118354797,5
GL11DH2,63.0,66.0,3.0,89.87266666666665,269.61799999999994,135.0,79.99999237060547,309538.9198165834,9762638.080183417,1239.4799002408981,135.0,79.99999237060547,309538.73563474417,9762638.264365256,1240.9571118354797,135.0,79.99999237060547,309539.1039984226,9762637.896001577,1238.0026886463165,5
GL11DH2,66.0,69.0,3.0,87.39,262.17,135.0,79.99999237060547,309539.28818026185,9762637.711819738,1236.525477051735,135.0,79.99999237060547,309539.1039984226,9762637.896001577,1238.0026886463165,135.0,79.99999237060547,309539.4723621011,9762637.527637899,1235.0482654571533,5
GL11DH2,69.0,72.0,3.0,89.399,268.197,135.0,79.99999237060547,309539.6565439403,9762637.34345606,1233.5710538625717,135.0,79.99999237060547,309539.4723621011,9762637.527637899,1235.0482654571533,135.0,79.99999237060547,309539.84072577953,9762637.15927422,1232.09384226799,5
GL11DH2,72.0,75.0,3.0,89.85666666666667,269.57,135.0,79.99999237060547,309540.02490761876,9762636.975092381,1230.6166306734085,135.0,79.99999237060547,309539.84072577953,9762637.15927422,1232.09384226799,135.0,79.99999237060547,309540.209089458,9762636.790910542,1229.139419078827,5
GL11DH2,75.0,78.0,3.0,86.58999999999999,259.77,135.0,79.9999771118164,309540.3932714313,9762636.606728554,1227.6622074842453,135.0,79.99999237060547,309540.209089458,9762636.790910542,1229.139419078827,135.0,79.99999237060547,309540.57745340466,9762636.422546566,1226.1849958896637,5
