IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
1579,11,6,1,309475.0,9762485.0,1175.0,0.25,84.89333,85.71415,92.32667,-100.46492,256.28442
1580,12,6,1,309485.0,9762485.0,1175.0,0.5,84.893364,86.56225,92.32667,-100.46478,256.28418
1581,13,6,1,309495.0,9762485.0,1175.0,0.75,84.592255,87.03888,91.822334,-106.26281,262.08228
1582,14,6,1,309505.0,9762485.0,1175.0,1.0,84.54848,87.40611,91.822334,-132.30385,288.12354
1583,15,6,1,309515.0,9762485.0,1175.0,0.875,84.54848,87.43247,91.822334,-132.30408,288.12402
1584,16,6,1,309525.0,9762485.0,1175.0,0.375,84.62115,87.42259,91.822334,-132.298,288.11804
1607,11,7,1,309475.0,9762495.0,1175.0,0.25,85.434364,85.16339,62.877865,-95.04288,250.86285
1608,12,7,1,309485.0,9762495.0,1175.0,0.5,85.434364,85.796326,92.32667,-95.04289,250.86288
1609,13,7,1,309495.0,9762495.0,1175.0,0.625,84.592224,85.98678,92.32667,-106.26335,262.08334
1610,14,7,1,309505.0,9762495.0,1175.0,0.875,84.54846,86.372154,91.822334,-132.30414,288.12415
1611,15,7,1,309515.0,9762495.0,1175.0,1.0,84.54847,86.52102,91.822334,-132.30415,288.1242
1612,16,7,1,309525.0,9762495.0,1175.0,0.75,84.54846,86.5662,91.822334,-132.30417,288.1242
1613,17,7,1,309535.0,9762495.0,1175.0,0.25,84.621155,86.61667,91.822334,-132.29802,288.11804
1635,11,8,1,309475.0,9762505.0,1175.0,0.25,84.820114,84.67778,64.3782,-104.15995,259.97998
1636,12,8,1,309485.0,9762505.0,1175.0,0.5,85.43436,85.04205,64.3782,-95.04294,250.86298
1637,13,8,1,309495.0,9762505.0,1175.0,0.5,85.179855,85.30756,64.3782,-100.21577,256.0358
1638,14,8,1,309505.0,9762505.0,1175.0,0.625,84.54846,85.48291,92.32667,-132.30417,288.1242
1639,15,8,1,309515.0,9762505.0,1175.0,0.875,84.54846,85.70405,91.822334,-132.30417,288.1242
1640,16,8,1,309525.0,9762505.0,1175.0,1.0,86.15586,86.639404,91.822334,-100.46546,256.2855
1641,17,8,1,309535.0,9762505.0,1175.0,0.625,86.15586,86.8899,91.822334,-100.46546,256.2855
1642,18,8,1,309545.0,9762505.0,1175.0,0.125,86.44922,87.28045,91.822334,-98.485825,254.30586
1663,11,9,1,309475.0,9762515.0,1175.0,0.125,84.1117,83.90648,64.3782,-96.61978,252.43973
1664,12,9,1,309485.0,9762515.0,1175.0,0.375,83.96782,84.11952,64.3782,-96.61982,252.4398
1665,13,9,1,309495.0,9762515.0,1175.0,0.5,84.794365,84.41156,64.3782,-94.86861,250.68863
1666,14,9,1,309505.0,9762515.0,1175.0,0.5,84.73755,84.73516,64.3782,-106.17355,261.9936
1667,15,9,1,309515.0,9762515.0,1175.0,0.75,86.53447,85.877106,64.3782,-94.99816,250.8182
1668,16,9,1,309525.0,9762515.0,1175.0,1.0,86.374886,86.24328,64.3782,-96.83387,252.6539
1669,17,9,1,309535.0,9762515.0,1175.0,0.875,86.15585,86.61387,64.3782,-100.46546,256.2855
1670,18,9,1,309545.0,9762515.0,1175.0,0.375,88.56088,88.471214,64.3782,-132.30417,288.1242
1692,12,10,1,309485.0,9762525.0,1175.0,0.125,84.12002,83.53906,64.3782,-103.94996,259.76932
