BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint,Domain
GL10DH1,48.0,51.0,3.0,0.0,0.0,135.0,79.99999237060547,309419.0780003071,9762592.921999574,1254.252017378807,135.0,79.99999237060547,309418.89381846786,9762593.106181413,1255.7292289733887,135.0,79.99999237060547,309419.2621821463,9762592.737817734,1252.7748057842255,1,0
GL10DH1,51.0,54.0,3.0,0.0,0.0,135.0,79.99999237060547,309419.44636398554,9762592.553635895,1251.2975941896439,135.0,79.99999237060547,309419.2621821463,9762592.737817734,1252.7748057842255,135.0,79.99999237060547,309419.63054582477,9762592.369454056,1249.8203825950623,1,0
GL10DH1,54.0,57.0,3.0,0.0,0.0,135.0,79.99999237060547,309419.814727664,9762592.185272217,1248.3431710004807,135.0,79.99999237060547,309419.63054582477,9762592.369454056,1249.8203825950623,135.0,79.99999237060547,309419.9989095032,9762592.001090378,1246.865959405899,1,0
GL10DH1,57.0,60.0,3.0,0.0,0.0,135.0,79.99999237060547,309420.18309134245,9762591.816908538,1245.3887478113174,135.0,79.99999237060547,309419.9989095032,9762592.001090378,1246.865959405899,135.0,80.00001525878906,309420.36727297306,9762591.632726908,1243.9115362167358,1,0
GL10DH1,60.0,63.0,3.0,0.0,0.0,135.0,79.99999237060547,309420.5514546037,9762591.448545277,1242.4343246221542,135.0,80.00001525878906,309420.36727297306,9762591.632726908,1243.9115362167358,135.0,79.99999237060547,309420.7356364429,9762591.264363438,1240.9571130275726,1,0
GL10DH1,63.0,66.0,3.0,0.0,0.0,135.0,79.99999237060547,309420.9198182821,9762591.080181599,1239.479901432991,135.0,79.99999237060547,309420.7356364429,9762591.264363438,1240.9571130275726,135.0,79.99999237060547,309421.10400012136,9762590.89599976,1238.0026898384094,1,0
GL10DH1,66.0,69.0,3.0,0.0,0.0,135.0,79.99999237060547,309421.2881819606,9762590.71181792,1236.5254782438278,135.0,79.99999237060547,309421.10400012136,9762590.89599976,1238.0026898384094,135.0,79.99999237060547,309421.4723637998,9762590.527636081,1235.0482666492462,1,0
GL10DH1,69.0,72.0,3.0,0.0,0.0,135.0,79.99999237060547,309421.65654563904,9762590.343454242,1233.5710550546646,135.0,79.99999237060547,309421.4723637998,9762590.527636081,1235.0482666492462,135.0,79.99999237060547,309421.84072747827,9762590.159272403,1232.093843460083,1,0
GL10DH1,72.0,75.0,3.0,29.359200000000175,88.07760000000053,135.0,79.99999237060547,309422.0249093175,9762589.975090563,1230.6166318655014,135.0,79.99999237060547,309421.84072747827,9762590.159272403,1232.093843460083,135.0,79.99999237060547,309422.2090911567,9762589.790908724,1229.1394202709198,1,0
GL10DH1,75.0,78.0,3.0,84.69,254.07,135.0,79.9999771118164,309422.39327313006,9762589.606726736,1227.6622086763382,135.0,79.99999237060547,309422.2090911567,9762589.790908724,1229.1394202709198,135.0,79.99999237060547,309422.5774551034,9762589.422544748,1226.1849970817566,1,1
GL10DH1,78.0,81.0,3.0,83.62760000000002,250.88280000000003,135.0,79.99999237060547,309422.7616369426,9762589.238362908,1224.707785487175,135.0,79.99999237060547,309422.5774551034,9762589.422544748,1226.1849970817566,135.0,79.99999237060547,309422.94581878185,9762589.05418107,1223.2305738925934,1,1
GL10DH1,81.0,84.0,2.4000000000000057,81.37,195.28800000000047,135.0,79.99999237060547,309423.1300006211,9762588.86999923,1221.7533622980118,135.0,79.99999237060547,309422.94581878185,9762589.05418107,1223.2305738925934,135.0,80.0,309423.3141823858,9762588.685817465,1220.2761507034302,1,1
GL10DH2,0.0,3.0,3.0,0.0,0.0,135.0,79.99999237060547,309457.1841816306,9762573.81581837,1300.5227884054184,135.0,80.00001525878906,309457.0,9762574.0,1302.0,135.0,79.99999237060547,309457.36836346984,9762573.63163653,1299.0455768108368,2,0
GL10DH2,3.0,6.0,3.0,0.0,0.0,135.0,79.99999237060547,309457.55254530907,9762573.447454691,1297.5683652162552,135.0,79.99999237060547,309457.36836346984,9762573.63163653,1299.0455768108368,135.0,79.99999237060547,309457.7367271483,9762573.263272852,1296.0911536216736,2,0
GL10DH2,6.0,9.0,3.0,0.0,0.0,135.0,79.99999237060547,309457.9209089875,9762573.079091012,1294.613942027092,135.0,79.99999237060547,309457.7367271483,9762573.263272852,1296.0911536216736,135.0,79.99999237060547,309458.10509082675,9762572.894909173,1293.1367304325104,2,0
